z,vz,Rcyl,phi,vRcyl,vphi,age,mass,feh,oh,ch,mgh,ofe,cfe,mgfe,IsMigratorInt
-0.071,338.952,0.218,301.9,-26.343,70.196,8.396,4850.73,-0.482,-0.045,-0.174,-0.204,0.437,0.308,0.278,0
0.451,-63.011,3.53,246.074,208.349,259.61,7.374,4335.468,-0.343,0.106,-0.063,-0.059,0.449,0.28,0.284,1
0.264,93.484,1.775,351.786,209.241,137.214,5.479,4578.587,-0.227,0.222,0.062,0.042,0.449,0.289,0.269,0
0.269,-54.065,2.51,186.489,104.533,303.646,5.565,6861.814,-0.169,0.268,0.11,0.088,0.437,0.279,0.257,0
0.194,-23.314,2.486,276.802,-64.048,93.0,5.906,5874.848,-0.148,0.305,0.163,0.124,0.454,0.311,0.273,0
0.059,284.801,1.227,193.363,397.764,61.208,5.339,5277.755,-0.059,0.407,0.269,0.214,0.466,0.328,0.272,1
0.175,-113.827,0.313,55.111,-167.357,69.672,6.792,5023.508,-0.329,0.096,-0.049,-0.072,0.426,0.28,0.258,0
0.159,-100.124,5.95,163.525,-86.254,226.342,5.341,5672.355,-0.162,0.29,0.129,0.106,0.453,0.291,0.269,0
-0.463,69.773,0.989,146.997,12.829,102.679,1.831,6744.047,0.193,0.66,0.581,0.409,0.466,0.387,0.215,0
-0.353,-7.262,4.986,83.32,-21.578,170.441,2.911,4638.387,0.105,0.56,0.465,0.328,0.455,0.36,0.222,0
-0.1,49.114,0.527,245.395,18.255,51.542,8.184,5072.934,-0.421,0.001,-0.131,-0.159,0.422,0.29,0.262,0
-0.36,106.662,2.287,153.485,-10.908,-78.611,10.504,4979.241,-0.841,-0.381,-0.671,-0.551,0.46,0.17,0.29,0
-0.184,-76.586,1.857,241.562,163.859,200.905,5.55,6443.439,-0.14,0.306,0.142,0.124,0.446,0.282,0.264,0
0.306,-181.474,1.676,6.371,10.501,141.973,8.867,4664.556,-0.546,-0.067,-0.246,-0.227,0.479,0.299,0.319,0
0.314,77.19,0.351,230.941,-36.281,443.746,7.122,6660.448,-0.312,0.144,-0.024,-0.022,0.456,0.288,0.29,1
-0.498,140.294,4.828,347.737,-30.331,67.034,6.238,5074.814,-0.186,0.251,0.087,0.077,0.437,0.273,0.263,1
-0.12,19.568,4.719,329.689,-135.246,209.787,5.196,6995.09,-0.148,0.308,0.148,0.122,0.456,0.296,0.27,0
0.403,-271.861,1.007,65.97,-81.032,38.084,8.005,4828.359,-0.474,0.007,-0.206,-0.155,0.481,0.268,0.318,0
-0.355,77.741,0.754,156.997,125.592,-61.514,8.998,5148.042,-0.472,-0.063,-0.241,-0.224,0.409,0.231,0.248,0
0.306,166.103,2.275,282.643,124.407,140.799,6.878,5673.894,-0.232,0.218,0.065,0.049,0.45,0.298,0.281,0
-0.34,-11.654,2.412,79.571,-126.536,366.201,0.566,7515.979,0.157,0.595,0.53,0.341,0.439,0.374,0.185,1
0.039,-21.476,0.556,46.915,14.034,83.962,6.513,5852.222,-0.168,0.256,0.117,0.082,0.424,0.285,0.249,0
-0.311,-85.027,0.757,61.5,-64.939,78.063,9.753,5373.641,-0.58,-0.14,-0.228,-0.294,0.44,0.352,0.286,0
-0.186,-33.433,3.633,281.46,-51.963,90.342,2.086,9540.535,0.05,0.514,0.391,0.287,0.464,0.341,0.236,0
-0.448,191.579,0.955,199.756,-92.763,8.89,9.275,9154.767,-0.361,0.065,-0.085,-0.094,0.426,0.276,0.267,0
-0.195,-72.269,0.152,157.221,120.974,-141.385,8.996,5320.624,-0.516,-0.071,-0.257,-0.232,0.445,0.258,0.284,0
0.112,-33.502,1.557,158.307,-44.198,201.464,0.908,9214.186,0.213,0.674,0.614,0.414,0.461,0.401,0.201,0
0.459,-30.144,1.564,229.383,145.299,243.772,4.118,5854.825,-0.031,0.412,0.277,0.208,0.444,0.309,0.24,0
0.322,72.795,2.362,282.58,133.583,189.861,9.006,4642.017,-0.589,-0.123,-0.328,-0.285,0.466,0.26,0.304,0
-0.433,-155.395,0.995,37.681,12.251,200.748,5.631,6289.151,-0.114,0.33,0.186,0.145,0.444,0.3,0.259,0
0.25,42.815,3.905,168.419,-0.265,157.222,6.404,5153.149,-0.252,0.196,0.034,0.024,0.448,0.287,0.276,1
0.052,90.114,0.451,305.769,-0.286,75.509,2.903,5065.395,0.221,0.651,0.598,0.403,0.431,0.377,0.182,0
-0.121,4.172,6.915,343.459,-47.446,211.105,1.574,4829.126,-0.071,0.396,0.272,0.171,0.467,0.343,0.241,1
0.124,16.213,3.77,44.887,-179.237,277.84,0.494,6999.478,0.214,0.673,0.612,0.413,0.459,0.398,0.199,1
-0.343,-45.43,6.743,48.896,-33.658,237.89,0.058,9007.741,0.149,0.619,0.539,0.366,0.47,0.39,0.217,0
0.035,-3.882,3.669,224.648,-24.317,269.016,9.297,5254.351,-0.527,-0.063,-0.273,-0.225,0.464,0.253,0.302,0
-0.055,153.407,0.78,256.622,-58.497,104.825,6.405,4966.082,-0.209,0.233,0.085,0.059,0.442,0.294,0.268,0
-0.008,19.4,1.815,109.71,-32.261,215.533,0.218,6039.57,0.289,0.732,0.698,0.459,0.443,0.409,0.171,0
0.431,65.912,2.03,80.937,-22.713,334.722,1.637,6220.99,0.063,0.53,0.413,0.299,0.467,0.35,0.236,0
0.446,-1.281,0.77,114.038,-54.316,261.517,6.306,4572.661,-0.24,0.205,0.037,0.033,0.444,0.276,0.272,0
0.178,29.943,5.33,31.458,-59.643,270.625,0.32,5338.664,0.148,0.617,0.534,0.366,0.469,0.386,0.218,0
0.003,76.153,0.486,301.003,74.191,-0.501,6.188,5826.117,-0.176,0.269,0.135,0.091,0.445,0.311,0.267,0
-0.094,54.1,4.813,252.939,59.796,209.865,0.825,5365.785,0.144,0.612,0.524,0.365,0.468,0.38,0.221,0
-0.405,-174.705,8.162,305.247,54.422,-50.764,10.974,5148.143,-0.912,-0.398,-0.605,-0.565,0.514,0.308,0.347,1
0.259,119.023,1.254,305.497,310.027,273.32,7.241,5453.312,-0.415,0.021,-0.148,-0.143,0.435,0.267,0.272,0
-0.106,-179.305,2.607,24.821,-141.121,307.163,5.122,6670.99,-0.136,0.315,0.154,0.129,0.451,0.29,0.265,0
0.135,-211.519,1.306,214.604,-271.952,-55.702,10.919,5019.79,-1.249,-0.726,-1.014,-0.899,0.523,0.235,0.35,0
-0.042,-10.814,1.822,191.456,28.366,46.924,9.272,5568.244,-0.449,0.02,-0.204,-0.143,0.469,0.245,0.306,0
-0.396,210.554,1.346,16.96,94.193,228.915,4.867,5246.458,-0.201,0.245,0.103,0.057,0.446,0.304,0.258,0
0.456,-74.168,1.141,325.377,-147.285,182.356,7.615,5016.034,-0.444,-0.029,-0.199,-0.192,0.414,0.244,0.252,0
-0.15,58.897,1.481,325.767,-58.97,286.882,4.606,6442.259,0.009,0.455,0.345,0.246,0.446,0.336,0.237,0
-0.031,91.137,0.43,334.871,87.338,135.685,5.375,4974.153,-0.057,0.374,0.246,0.182,0.432,0.303,0.239,0
-0.086,91.333,0.304,350.178,-20.537,214.479,6.31,7624.07,-0.217,0.231,0.073,0.056,0.448,0.289,0.273,0
-0.372,-19.678,5.801,122.962,-48.282,204.742,1.942,5486.896,0.082,0.552,0.45,0.315,0.471,0.369,0.234,1
-0.038,168.258,0.629,141.656,166.799,94.231,5.471,5719.392,-0.062,0.362,0.246,0.169,0.424,0.308,0.231,0
-0.145,6.942,5.103,248.866,-65.37,117.004,5.943,5705.603,-0.285,0.161,-0.005,-0.013,0.446,0.28,0.272,0
-0.352,-9.472,6.106,48.714,12.484,147.33,2.015,11490.768,0.056,0.525,0.403,0.297,0.469,0.347,0.24,1
-0.079,-265.98,0.78,203.781,-133.718,-128.197,9.276,5052.784,-0.518,-0.045,-0.257,-0.207,0.473,0.261,0.311,0
-0.086,-156.321,0.72,187.867,-18.665,158.648,6.562,6254.382,-0.294,0.147,-0.002,-0.023,0.441,0.292,0.271,0
0.412,358.884,0.154,71.663,-41.004,-25.543,9.402,5486.058,-0.545,-0.078,-0.333,-0.242,0.467,0.213,0.303,0
-0.311,132.285,1.346,259.852,51.687,-122.195,8.156,5202.838,-0.5,-0.01,-0.22,-0.174,0.489,0.28,0.326,0
-0.27,15.545,1.017,60.86,-65.914,116.299,6.015,4825.913,-0.125,0.341,0.191,0.158,0.466,0.317,0.283,0
0.499,-22.924,0.693,157.759,-105.497,248.635,8.56,4891.423,-0.505,-0.034,-0.242,-0.197,0.471,0.263,0.308,0
-0.363,-133.491,5.685,232.018,44.583,107.082,6.222,4225.95,-0.34,0.123,-0.079,-0.047,0.463,0.261,0.293,1
0.358,139.231,1.224,28.717,83.165,157.393,4.775,5024.875,0.006,0.458,0.325,0.255,0.452,0.319,0.249,0
-0.099,107.215,5.85,249.458,-39.471,300.482,3.144,7094.052,-0.165,0.292,0.144,0.092,0.457,0.308,0.257,1
0.242,12.05,8.994,39.621,106.816,201.253,2.252,8657.408,0.002,0.469,0.339,0.248,0.467,0.336,0.246,0
0.248,88.448,1.692,98.377,-4.591,158.086,5.537,5122.871,-0.095,0.359,0.21,0.172,0.454,0.305,0.266,0
-0.08,-18.474,0.283,324.47,256.107,57.925,7.786,5395.265,-0.349,0.065,-0.037,-0.095,0.414,0.312,0.255,0
-0.057,75.106,0.992,205.033,-106.913,229.352,3.176,6280.634,0.16,0.604,0.52,0.368,0.444,0.361,0.208,0
0.273,-96.228,1.564,42.675,138.377,134.556,3.431,5680.927,0.086,0.541,0.443,0.313,0.454,0.356,0.227,0
-0.321,-44.931,3.947,145.092,-40.736,239.887,4.19,6787.16,-0.062,0.389,0.267,0.185,0.451,0.329,0.247,1
-0.007,-23.435,4.196,289.501,117.783,188.419,2.243,4805.18,0.081,0.542,0.424,0.313,0.461,0.343,0.232,0
-0.064,-37.273,0.42,137.146,60.708,247.558,1.611,6480.373,0.318,0.755,0.705,0.49,0.436,0.387,0.172,0
0.404,323.587,0.554,81.122,-64.733,72.831,8.977,5044.001,-0.479,-0.001,-0.178,-0.162,0.478,0.302,0.318,0
-0.48,11.491,5.682,56.839,-81.239,194.522,7.4,5251.362,-0.294,0.157,0.023,-0.009,0.451,0.317,0.285,1
-0.072,-38.724,1.212,19.44,92.934,283.977,0.702,5670.755,0.24,0.697,0.641,0.434,0.457,0.401,0.194,0
-0.207,-177.02,0.492,45.051,-167.165,101.837,8.185,4786.585,-0.413,-0.015,-0.169,-0.176,0.398,0.244,0.237,0
0.059,-9.735,2.38,259.396,-72.381,124.59,1.958,5552.521,0.151,0.611,0.528,0.365,0.46,0.377,0.214,0
-0.092,-104.196,0.787,61.215,83.742,245.058,9.714,4516.474,-0.626,-0.136,-0.388,-0.3,0.49,0.237,0.326,0
-0.181,-362.094,2.291,287.125,-17.516,-146.546,11.808,5120.829,-1.66,-1.144,-1.503,-1.319,0.517,0.157,0.342,0
-0.413,50.458,4.219,84.446,-162.601,167.724,2.941,6827.959,0.093,0.547,0.448,0.317,0.454,0.355,0.224,0
-0.037,-7.57,0.837,352.566,-21.122,234.116,0.598,6853.244,0.29,0.734,0.695,0.464,0.443,0.404,0.174,0
0.465,-320.274,0.976,161.889,-54.79,152.159,6.968,4508.113,-0.351,0.103,-0.071,-0.063,0.454,0.28,0.288,0
-0.373,-128.956,2.532,71.629,-198.076,230.327,7.695,5205.401,-0.417,0.037,-0.119,-0.125,0.454,0.298,0.292,1
0.053,52.689,0.851,40.895,44.802,148.999,4.694,5695.303,0.081,0.51,0.41,0.297,0.429,0.33,0.216,0
0.181,-141.92,4.052,358.256,29.096,205.693,5.857,6091.082,-0.235,0.213,0.038,0.037,0.447,0.273,0.272,0
0.441,-265.987,2.433,16.118,-67.249,-88.123,9.189,4821.935,-0.436,0.034,-0.201,-0.129,0.47,0.235,0.307,0
0.468,-94.354,0.747,202.829,169.707,447.466,5.847,6982.783,-0.182,0.274,0.107,0.095,0.456,0.289,0.277,0
-0.452,71.233,1.052,6.336,9.57,205.142,5.685,4962.533,-0.197,0.258,0.116,0.076,0.455,0.313,0.274,0
0.368,124.48,1.101,302.487,-111.496,86.08,8.758,4420.853,-0.595,-0.117,-0.361,-0.281,0.479,0.234,0.314,0
-0.261,-54.596,0.359,217.627,168.517,41.113,7.695,4498.151,-0.384,0.056,-0.072,-0.109,0.44,0.312,0.276,0
0.13,-52.354,3.248,176.442,175.828,261.52,2.661,10098.686,0.106,0.561,0.459,0.328,0.455,0.353,0.222,1
-0.418,163.099,0.72,282.102,137.359,156.571,8.398,4578.891,-0.434,-0.017,-0.093,-0.174,0.416,0.341,0.26,0
-0.441,-120.703,1.41,141.957,104.712,-38.186,6.302,4936.882,-0.244,0.219,0.078,0.041,0.463,0.322,0.285,0
0.19,-196.474,0.634,58.521,157.168,282.739,5.541,4992.111,-0.093,0.349,0.202,0.164,0.442,0.295,0.256,0
-0.132,42.017,0.716,245.89,183.351,252.628,7.251,5677.986,-0.336,0.101,-0.03,-0.063,0.438,0.306,0.273,0
0.494,58.659,0.93,228.615,-212.785,63.381,7.708,4531.352,-0.406,0.04,-0.105,-0.121,0.446,0.3,0.284,0
-0.102,169.843,3.096,151.205,-143.735,183.758,5.325,4861.086,-0.11,0.342,0.192,0.154,0.452,0.302,0.264,0
0.223,-5.313,1.014,83.82,130.101,-440.264,11.272,4656.337,-1.165,-0.643,-0.951,-0.816,0.522,0.215,0.349,0
0.343,165.919,2.234,124.599,-130.171,296.043,6.188,5504.168,-0.217,0.23,0.054,0.056,0.448,0.271,0.273,0
0.22,-242.812,2.416,356.567,-209.319,-211.538,7.967,5556.936,-0.456,0.042,-0.181,-0.122,0.498,0.276,0.334,1
-0.335,-136.604,0.825,230.745,-135.091,-159.148,8.862,5583.586,-0.51,-0.029,-0.244,-0.191,0.481,0.266,0.319,0
-0.251,45.517,7.671,84.246,47.943,251.628,1.24,7724.532,0.052,0.521,0.407,0.287,0.469,0.355,0.235,1
0.328,-73.518,4.307,217.885,-131.835,253.254,3.488,5003.239,-0.006,0.452,0.317,0.242,0.458,0.322,0.247,1
0.495,-12.227,3.336,266.609,-108.824,171.161,2.616,7274.341,0.037,0.499,0.381,0.274,0.462,0.344,0.237,0
-0.405,-95.379,1.694,125.334,240.331,-44.275,8.981,8461.466,-0.439,0.03,-0.209,-0.133,0.469,0.23,0.305,0
-0.184,-28.652,0.856,114.733,-87.067,302.43,8.399,4479.967,-0.547,-0.092,-0.282,-0.254,0.456,0.265,0.293,0
0.39,-128.71,3.737,53.327,-326.768,197.958,8.588,5124.25,-0.54,-0.071,-0.303,-0.235,0.468,0.237,0.305,1
0.092,-65.731,0.329,124.352,-110.906,286.114,7.25,5887.317,-0.372,0.067,-0.083,-0.098,0.439,0.29,0.275,0
-0.22,44.309,3.961,23.458,-82.99,250.885,4.946,8708.238,-0.006,0.437,0.321,0.234,0.444,0.328,0.24,0
0.181,7.121,1.923,331.757,62.057,80.375,9.241,5741.185,-0.605,-0.123,-0.321,-0.283,0.482,0.284,0.322,0
0.058,230.896,0.328,340.766,219.714,295.562,7.518,4353.516,-0.35,0.092,-0.059,-0.071,0.443,0.291,0.279,0
0.344,29.584,5.589,333.731,26.461,340.736,6.835,5342.622,-0.33,0.119,-0.051,-0.049,0.449,0.279,0.281,1
-0.091,65.942,1.523,99.076,54.079,227.631,4.86,6542.37,0.033,0.481,0.37,0.272,0.448,0.337,0.239,0
-0.452,134.176,2.072,55.048,-145.257,177.467,3.473,5787.246,0.109,0.561,0.46,0.334,0.452,0.352,0.225,0
0.394,-409.42,0.284,168.419,-239.588,11.404,11.805,4599.464,-1.825,-1.334,-1.464,-1.507,0.491,0.361,0.318,1
0.186,85.287,0.916,119.549,209.774,180.131,6.016,5143.004,-0.116,0.358,0.215,0.173,0.474,0.331,0.289,0
-0.021,-78.166,2.221,281.426,-153.623,308.895,4.219,6556.229,-0.041,0.416,0.276,0.213,0.457,0.317,0.254,1
0.413,-51.196,0.449,2.71,63.618,42.696,6.619,4740.583,-0.2,0.227,0.102,0.055,0.427,0.302,0.255,0
0.098,116.045,6.265,179.262,127.336,152.159,4.804,7447.775,-0.14,0.303,0.152,0.113,0.443,0.292,0.253,1
0.051,-28.78,1.256,140.83,168.702,292.016,3.459,6868.042,0.083,0.532,0.424,0.309,0.448,0.341,0.225,0
-0.058,18.188,3.215,169.37,-71.29,198.903,3.567,8703.198,-0.021,0.434,0.297,0.226,0.455,0.318,0.246,0
-0.463,33.811,1.425,231.186,65.534,-21.911,8.014,5490.339,-0.539,-0.083,-0.25,-0.243,0.457,0.289,0.296,0
0.103,-45.239,0.734,162.344,31.777,199.61,1.835,5984.304,0.21,0.678,0.604,0.424,0.468,0.394,0.215,0
0.225,203.942,0.165,339.327,94.687,-248.491,5.803,7205.25,-0.108,0.345,0.184,0.163,0.453,0.292,0.271,0
0.08,159.367,0.424,310.731,117.434,-40.42,6.407,6329.669,-0.182,0.257,0.1,0.083,0.439,0.282,0.265,0
0.343,130.026,4.474,69.002,68.145,143.648,5.575,5028.233,-0.283,0.166,-0.007,-0.011,0.449,0.277,0.272,1
-0.219,13.392,1.295,0.817,63.336,222.562,1.9,7700.874,0.127,0.596,0.505,0.353,0.469,0.378,0.225,0
-0.494,-69.724,0.579,44.378,-81.732,-392.609,8.374,4557.116,-0.567,-0.11,-0.325,-0.273,0.457,0.242,0.294,1
0.381,-121.979,0.367,235.65,81.211,-12.536,6.629,5550.671,-0.203,0.218,0.099,0.046,0.421,0.301,0.248,0
0.407,359.496,0.353,28.061,46.132,19.078,8.495,4615.626,-0.542,-0.124,-0.346,-0.288,0.418,0.196,0.254,0
-0.223,-49.077,0.77,289.895,44.226,157.57,4.257,7220.849,0.129,0.561,0.483,0.335,0.433,0.355,0.207,0
-0.005,-5.606,2.302,358.289,-205.64,-130.571,9.437,4737.943,-0.511,-0.026,-0.294,-0.191,0.485,0.218,0.32,0
-0.212,-7.045,0.433,116.44,-296.79,-224.603,9.813,4549.539,-0.614,-0.146,-0.425,-0.312,0.469,0.189,0.302,0
0.244,-37.653,3.085,16.71,36.241,292.889,4.028,7090.479,0.026,0.472,0.346,0.261,0.446,0.32,0.235,0
-0.323,182.61,0.225,91.05,116.722,-91.142,7.784,5854.12,-0.376,0.07,-0.047,-0.091,0.446,0.329,0.285,0
-0.44,-62.263,2.001,350.822,-261.423,-111.805,8.072,5782.009,-0.57,-0.104,-0.327,-0.268,0.466,0.244,0.302,0
0.339,50.442,1.189,278.1,-94.99,207.608,5.651,5939.583,-0.138,0.302,0.139,0.121,0.44,0.277,0.259,0
0.13,-89.524,0.756,247.87,-189.005,-23.902,6.404,6096.429,-0.155,0.288,0.181,0.107,0.442,0.336,0.262,0
0.44,212.876,1.81,266.158,314.79,226.275,10.329,5271.642,-0.777,-0.308,-0.586,-0.477,0.469,0.191,0.3,1
0.341,124.555,3.185,42.105,-1.122,211.894,6.978,4931.657,-0.275,0.161,0.006,-0.006,0.436,0.281,0.269,0
0.172,-16.014,0.872,209.252,185.311,243.808,4.139,5313.061,0.049,0.509,0.383,0.296,0.461,0.335,0.247,0
0.442,-0.222,8.712,172.053,-82.935,220.706,0.364,8961.279,0.059,0.531,0.43,0.288,0.471,0.371,0.229,0
0.494,-254.624,2.236,300.851,98.102,-32.658,6.202,8551.14,-0.303,0.145,-0.035,-0.026,0.449,0.268,0.278,1
0.423,-11.91,1.032,208.16,-44.259,339.292,4.908,5396.722,0.011,0.449,0.335,0.246,0.438,0.324,0.235,0
0.023,43.27,5.184,58.808,-26.387,298.745,1.778,7971.107,0.05,0.521,0.402,0.291,0.47,0.352,0.24,0
-0.124,-50.154,0.661,100.152,10.875,61.137,2.061,4942.438,0.222,0.685,0.604,0.435,0.463,0.382,0.212,0
0.14,-234.868,0.896,87.368,181.16,445.491,11.363,5124.479,-1.141,-0.667,-1.006,-0.841,0.474,0.136,0.3,1
-0.018,-20.819,1.018,181.9,-210.096,323.842,1.625,8657.977,0.19,0.652,0.572,0.402,0.462,0.382,0.212,0
0.174,-12.024,3.662,291.042,-17.296,196.61,0.091,8783.526,0.214,0.676,0.617,0.414,0.462,0.403,0.2,0
0.38,46.085,0.884,120.647,62.69,106.321,3.7,4658.949,0.179,0.613,0.528,0.381,0.433,0.349,0.202,0
-0.135,19.452,3.276,113.919,28.412,220.751,2.913,8494.763,0.12,0.572,0.471,0.341,0.452,0.351,0.22,0
-0.137,63.252,3.691,183.44,103.673,196.046,3.39,7662.823,0.024,0.481,0.364,0.263,0.456,0.34,0.238,0
0.229,-18.134,9.482,135.457,5.297,193.228,3.35,6499.639,-0.009,0.448,0.314,0.237,0.457,0.323,0.246,1
-0.021,34.622,1.249,276.064,-122.768,267.804,6.877,5184.855,-0.264,0.181,0.032,0.012,0.445,0.296,0.276,0
-0.253,-72.81,0.827,88.356,118.043,267.493,3.875,5259.955,0.086,0.53,0.438,0.307,0.445,0.352,0.221,0
-0.336,-260.926,0.168,240.616,-16.775,118.55,7.781,5904.014,-0.482,-0.048,-0.173,-0.208,0.434,0.309,0.274,0
0.081,1.144,0.952,227.122,86.08,112.405,3.582,4797.148,0.158,0.6,0.501,0.372,0.442,0.343,0.214,0
-0.254,-96.005,0.994,159.415,-29.271,66.392,2.349,5812.37,0.178,0.644,0.579,0.391,0.466,0.401,0.213,0
0.15,21.171,3.343,24.038,-52.337,295.697,1.972,9259.238,0.201,0.652,0.565,0.406,0.451,0.364,0.205,0
0.384,21.854,3.049,248.707,119.561,227.912,1.076,6837.873,0.196,0.66,0.593,0.403,0.464,0.398,0.208,0
0.35,-68.092,1.666,241.076,-378.317,168.423,8.463,4838.293,-0.491,-0.018,-0.241,-0.182,0.473,0.25,0.309,1
0.263,133.706,0.154,97.57,-190.216,187.05,6.321,6703.438,0.115,0.459,0.313,0.282,0.345,0.198,0.168,0
-0.141,-51.065,5.535,196.767,44.846,358.787,5.546,5991.687,-0.249,0.202,0.029,0.024,0.451,0.278,0.273,1
0.252,14.204,7.238,299.939,-105.198,135.174,3.527,7402.236,-0.082,0.377,0.233,0.173,0.459,0.315,0.255,1
-0.043,-17.139,0.611,283.252,188.685,-271.787,7.999,4938.516,-0.459,-0.031,-0.194,-0.192,0.428,0.265,0.267,0
0.283,-13.417,1.282,348.345,-143.752,-179.076,6.403,5263.606,-0.216,0.239,0.079,0.065,0.455,0.295,0.281,0
0.065,-117.088,2.554,350.018,-77.623,318.172,5.628,4566.81,-0.157,0.289,0.13,0.109,0.446,0.286,0.266,0
0.472,151.317,2.895,232.489,-190.664,-98.481,11.466,4796.675,-1.488,-0.959,-1.258,-1.133,0.529,0.229,0.354,0
0.204,-161.594,0.254,259.602,-69.62,-20.237,3.5,4976.757,0.189,0.63,0.558,0.392,0.441,0.37,0.203,0
0.209,10.155,3.246,79.347,-156.593,144.436,8.926,4947.486,-0.582,-0.096,-0.363,-0.262,0.486,0.219,0.321,0
-0.05,11.717,0.741,180.346,-137.498,275.955,3.522,6399.327,0.152,0.593,0.507,0.361,0.441,0.355,0.209,0
-0.057,-104.679,0.567,125.529,52.2,96.516,7.092,5801.753,-0.188,0.248,0.097,0.078,0.436,0.285,0.266,0
0.409,37.946,3.668,211.951,220.14,147.18,8.178,5362.625,-0.579,-0.113,-0.339,-0.277,0.466,0.241,0.302,1
-0.059,-93.956,0.604,130.639,-31.806,-5.691,6.842,5280.485,-0.213,0.241,0.111,0.068,0.453,0.324,0.281,0
-0.3,-193.271,1.859,308.096,35.042,41.744,6.457,10744.283,-0.242,0.196,0.03,0.025,0.438,0.272,0.267,0
-0.309,-242.015,2.706,251.067,-143.697,-15.654,9.643,5805.831,-0.57,-0.178,-0.382,-0.341,0.392,0.189,0.229,0
-0.057,-195.247,0.32,65.029,-207.748,-115.777,8.983,5011.956,-0.515,-0.056,-0.229,-0.216,0.459,0.286,0.299,0
0.216,143.458,0.833,214.206,176.638,-5.983,7.984,4215.981,-0.49,0.01,-0.177,-0.152,0.5,0.312,0.338,0
0.108,-56.683,9.735,325.899,-9.417,195.891,1.267,7326.408,0.033,0.504,0.384,0.274,0.471,0.351,0.241,1
0.311,-181.276,7.837,240.798,-14.424,103.254,6.762,5442.302,-0.427,0.017,-0.158,-0.149,0.443,0.269,0.277,1
-0.206,-44.851,5.206,309.044,-192.556,136.52,3.583,5034.296,-0.16,0.302,0.134,0.106,0.461,0.294,0.266,0
-0.245,-8.625,7.383,326.047,85.367,184.97,1.432,5820.852,0.04,0.51,0.391,0.28,0.47,0.351,0.24,0
0.351,-4.84,5.063,325.069,-98.822,199.476,4.677,4916.02,-0.103,0.348,0.204,0.153,0.452,0.308,0.256,0
-0.425,7.565,8.513,200.003,14.614,206.512,1.608,10478.365,0.095,0.56,0.452,0.325,0.466,0.357,0.23,1
-0.205,-75.138,0.449,185.691,108.067,297.894,5.935,6904.287,-0.113,0.344,0.192,0.162,0.457,0.305,0.275,0
-0.281,-43.645,0.897,156.916,-123.417,128.285,4.933,4657.407,-0.055,0.389,0.245,0.195,0.443,0.299,0.25,0
0.176,16.684,8.192,345.304,-80.909,179.488,1.418,8188.59,0.045,0.513,0.393,0.283,0.468,0.348,0.238,1
-0.029,-185.327,1.472,169.325,75.574,-14.017,9.303,4179.252,-0.523,-0.053,-0.267,-0.215,0.47,0.255,0.308,0
-0.099,70.697,2.905,257.05,193.209,95.124,5.991,4900.033,-0.278,0.17,0.019,-0.006,0.448,0.296,0.272,0
0.058,-1.185,2.155,39.187,-77.836,240.573,0.438,10332.392,0.257,0.709,0.662,0.442,0.452,0.405,0.185,0
-0.055,-10.754,0.398,273.23,-203.224,-81.725,7.785,5061.111,-0.449,-0.012,-0.114,-0.172,0.437,0.335,0.277,0
-0.465,-155.528,3.557,341.471,83.474,271.948,6.626,6331.689,-0.41,0.038,-0.141,-0.129,0.448,0.269,0.281,1
-0.195,-106.011,0.079,101.723,113.513,233.728,5.596,4687.124,0.0,0.454,0.321,0.258,0.454,0.321,0.257,0
-0.102,-138.316,0.563,95.382,-432.289,-107.59,9.561,4897.949,-0.685,-0.215,-0.47,-0.38,0.47,0.215,0.305,1
0.382,8.311,2.494,37.334,125.457,-77.807,7.746,4581.413,-0.339,0.13,-0.052,-0.033,0.47,0.288,0.306,1
0.481,62.338,2.912,304.694,-166.654,191.128,5.34,5486.055,-0.112,0.334,0.196,0.145,0.445,0.308,0.257,0
-0.341,81.252,1.619,59.833,-199.594,115.327,3.662,6103.417,0.095,0.549,0.445,0.325,0.454,0.349,0.23,0
-0.173,168.115,1.361,329.198,224.349,-41.391,10.75,4793.204,-0.901,-0.433,-0.659,-0.599,0.468,0.242,0.302,0
0.4,-51.014,3.306,359.856,78.163,166.233,5.614,12751.976,-0.155,0.306,0.11,0.127,0.461,0.265,0.282,0
0.188,41.984,4.783,350.614,-50.727,164.986,1.721,6246.051,0.124,0.591,0.492,0.35,0.467,0.368,0.226,1
0.497,215.368,1.299,291.24,176.318,225.434,7.971,5369.373,-0.54,-0.067,-0.305,-0.232,0.473,0.235,0.308,0
0.265,-43.36,7.601,53.645,123.543,226.152,1.481,11262.256,0.042,0.506,0.392,0.274,0.464,0.35,0.232,0
-0.255,179.25,2.036,253.78,-206.384,127.435,4.093,8268.595,0.073,0.523,0.414,0.305,0.45,0.341,0.232,0
-0.11,-160.286,1.004,302.753,-78.772,281.94,1.993,4241.991,0.168,0.633,0.535,0.391,0.465,0.366,0.223,0
0.036,-26.121,0.118,242.094,29.969,-38.521,2.469,5351.702,0.141,0.599,0.519,0.356,0.459,0.378,0.215,0
-0.081,35.832,3.769,347.33,85.252,235.503,0.597,9021.327,0.234,0.691,0.632,0.43,0.457,0.399,0.196,0
0.021,-134.43,0.359,147.723,236.474,174.498,5.459,5827.024,-0.048,0.392,0.288,0.195,0.44,0.336,0.242,0
