z,vz,Rcyl,phi,vRcyl,vphi,age,mass,feh,oh,ch,mgh,ofe,cfe,mgfe,IsMigratorInt
0.391,87.299,0.835,292.899,20.181,17.781,7.78,5751.221,-0.421,0.023,-0.108,-0.138,0.444,0.313,0.283,0
-0.118,47.768,0.852,45.835,277.626,52.804,8.844,4640.206,-0.449,0.031,-0.187,-0.132,0.48,0.262,0.317,0
-0.076,-78.98,0.173,145.022,49.837,-79.249,1.469,5317.892,0.262,0.715,0.674,0.448,0.453,0.412,0.186,0
0.125,110.573,0.295,101.418,13.588,-62.063,8.183,6154.809,-0.392,0.034,-0.025,-0.123,0.427,0.367,0.27,0
-0.351,-119.161,0.554,337.423,-191.608,262.174,3.869,11522.886,0.189,0.583,0.551,0.345,0.394,0.362,0.156,0
0.027,-46.15,0.995,219.765,-93.548,150.004,2.154,7057.185,0.149,0.603,0.501,0.365,0.454,0.352,0.215,0
-0.292,81.981,3.068,65.455,-7.702,198.995,8.844,5332.823,-0.48,0.007,-0.228,-0.157,0.487,0.252,0.323,0
0.42,24.35,5.467,357.062,-154.445,159.221,3.797,6386.057,-0.052,0.402,0.259,0.199,0.455,0.311,0.251,0
-0.349,209.308,2.827,18.592,-150.114,-192.233,11.458,4901.566,-1.474,-0.957,-1.157,-1.13,0.517,0.317,0.344,0
0.363,36.492,0.41,49.879,-54.036,-47.789,4.049,6492.299,0.15,0.603,0.53,0.37,0.454,0.38,0.22,0
-0.158,145.526,0.404,280.723,163.888,103.658,5.868,4714.542,-0.147,0.306,0.182,0.122,0.454,0.329,0.269,0
-0.272,122.484,0.205,263.105,-145.088,83.391,6.204,6428.811,-0.152,0.276,0.153,0.098,0.428,0.305,0.25,0
-0.097,-6.844,1.605,191.24,246.059,115.556,10.077,4706.712,-0.658,-0.237,-0.406,-0.399,0.422,0.252,0.259,0
0.398,11.254,9.05,178.324,172.627,136.967,5.757,5064.834,-0.237,0.214,0.037,0.037,0.451,0.274,0.274,1
0.406,-31.95,0.435,55.842,87.512,35.553,4.972,6398.363,0.082,0.516,0.43,0.303,0.435,0.348,0.221,0
-0.25,326.819,0.85,223.851,-60.401,269.339,6.771,5596.107,-0.326,0.117,-0.036,-0.05,0.443,0.29,0.276,0
-0.074,-23.397,0.825,259.654,-295.999,312.033,5.564,6281.169,-0.124,0.328,0.17,0.145,0.452,0.294,0.268,0
0.122,43.839,5.095,276.352,53.552,268.259,2.673,6410.917,-0.058,0.402,0.263,0.189,0.459,0.32,0.247,1
-0.394,-39.024,7.11,39.078,-30.864,272.01,3.438,9053.099,-0.135,0.324,0.164,0.126,0.459,0.299,0.261,1
-0.375,-86.091,2.483,273.663,162.156,29.201,8.437,5605.997,-0.492,-0.024,-0.232,-0.187,0.468,0.26,0.305,0
0.139,143.181,1.577,194.667,-116.83,141.838,6.184,6425.041,-0.197,0.242,0.102,0.066,0.439,0.298,0.263,0
-0.013,250.709,0.582,36.106,154.734,253.382,8.575,5929.976,-0.529,-0.047,-0.278,-0.21,0.483,0.251,0.319,0
-0.147,-8.518,0.44,152.316,-200.723,129.048,4.97,4939.126,-0.002,0.43,0.324,0.229,0.433,0.327,0.231,0
-0.06,70.017,1.19,142.88,171.597,288.407,7.019,5323.362,-0.312,0.119,-0.05,-0.047,0.431,0.262,0.265,0
0.013,35.055,0.427,104.57,-128.16,209.538,0.662,7392.293,0.345,0.778,0.755,0.501,0.432,0.41,0.156,0
0.013,-16.126,1.271,318.325,153.009,-20.743,9.299,5293.306,-0.533,-0.065,-0.275,-0.227,0.469,0.259,0.307,0
