epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
3,759,,0.875,,,
3,769,,0.96875,,,
3,779,,0.8125,,,
3,789,,0.8125,,,
3,799,,0.84375,,,
3,809,,0.8125,,,
3,819,,0.875,,,
3,829,,0.90625,,,
3,839,,0.84375,,,
3,849,,0.8125,,,
3,859,,0.9375,,,
3,869,,0.875,,,
3,879,,0.65625,,,
3,889,,0.875,,,
3,899,,0.75,,,
3,909,,0.78125,,,
3,919,,0.84375,,,
3,929,,0.90625,,,
3,939,,0.875,,,
3,949,,0.875,,,
3,959,,0.875,,,
3,969,,0.90625,,,
3,979,,0.875,,,
3,989,,0.875,,,
3,999,,0.774193525314331,,,
3,999,,,,0.8364999890327454,0.46440595388412476
3,999,0.8366045951843262,,0.46839335560798645,,
4,1009,,0.78125,,,
4,1019,,0.875,,,
4,1029,,0.90625,,,
4,1039,,0.84375,,,
4,1049,,0.875,,,
4,1059,,0.75,,,
4,1069,,0.90625,,,
4,1079,,0.78125,,,
4,1089,,0.84375,,,
4,1099,,0.78125,,,
4,1109,,0.875,,,
4,1119,,0.8125,,,
4,1129,,0.71875,,,
4,1139,,0.9375,,,
4,1149,,0.9375,,,
4,1159,,0.75,,,
4,1169,,0.84375,,,
4,1179,,0.75,,,
4,1189,,0.84375,,,
4,1199,,0.875,,,
4,1209,,0.84375,,,
4,1219,,0.8125,,,
4,1229,,0.875,,,
4,1239,,0.84375,,,
4,1249,,0.8064516186714172,,,
4,1249,,,,0.8414999842643738,0.46318984031677246
4,1249,0.8389798998832703,,0.4645710587501526,,
5,1259,,0.78125,,,
5,1269,,0.8125,,,
5,1279,,0.84375,,,
5,1289,,0.8125,,,
5,1299,,0.90625,,,
5,1309,,0.875,,,
5,1319,,0.8125,,,
5,1329,,0.875,,,
5,1339,,0.78125,,,
5,1349,,0.875,,,
5,1359,,0.84375,,,
5,1369,,0.9375,,,
5,1379,,0.875,,,
5,1389,,0.90625,,,
5,1399,,0.78125,,,
5,1409,,0.84375,,,
5,1419,,0.96875,,,
5,1429,,0.78125,,,
5,1439,,0.875,,,
5,1449,,0.84375,,,
5,1459,,0.65625,,,
5,1469,,0.84375,,,
5,1479,,0.84375,,,
5,1489,,0.8125,,,
5,1499,,0.8064516186714172,,,
5,1499,,,,0.8399999737739563,0.4601898193359375
5,1499,0.8406050801277161,,0.4635138511657715,,
6,1509,,0.8125,,,
6,1519,,0.875,,,
6,1529,,0.875,,,
6,1539,,0.84375,,,
6,1549,,0.90625,,,
6,1559,,0.875,,,
6,1569,,0.84375,,,
6,1579,,0.8125,,,
6,1589,,0.84375,,,
6,1599,,0.90625,,,
6,1609,,0.71875,,,
6,1619,,0.84375,,,
6,1629,,0.90625,,,
6,1639,,0.875,,,
6,1649,,0.75,,,
6,1659,,0.78125,,,
6,1669,,0.9375,,,
6,1679,,0.78125,,,
6,1689,,0.9375,,,
6,1699,,0.9375,,,
6,1709,,0.90625,,,
6,1719,,0.875,,,
6,1729,,0.875,,,
6,1739,,0.90625,,,
6,1749,,0.9032257795333862,,,
6,1749,,,,0.8500000238418579,0.4578344225883484
6,1749,0.8414801955223083,,0.4625106453895569,,
7,1759,,0.71875,,,
7,1769,,0.78125,,,
7,1779,,0.8125,,,
7,1789,,0.78125,,,
7,1799,,0.6875,,,
7,1809,,0.875,,,
7,1819,,0.8125,,,
7,1829,,0.875,,,
7,1839,,0.84375,,,
7,1849,,0.78125,,,
7,1859,,0.8125,,,
7,1869,,0.96875,,,
7,1879,,0.8125,,,
7,1889,,0.875,,,
7,1899,,0.78125,,,
7,1909,,0.84375,,,
7,1919,,0.84375,,,
7,1929,,0.9375,,,
7,1939,,0.9375,,,
7,1949,,0.84375,,,
7,1959,,0.875,,,
7,1969,,0.96875,,,
7,1979,,0.78125,,,
7,1989,,0.78125,,,
7,1999,,0.9354838728904724,,,
7,1999,,,,0.8514999747276306,0.45673224329948425
7,1999,0.8414801955223083,,0.4636040925979614,,
8,2009,,0.84375,,,
8,2019,,0.75,,,
8,2029,,0.90625,,,
8,2039,,0.84375,,,
8,2049,,0.84375,,,
